               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.063395,            0.071751,           0.0065004,              0.7739,             0.77538,             0.82779,             0.44416,            0.053305,            0.053929,           0.0044581,           0.0084754,           0.0084754,           0.0084754
                  79,            0.060609,            0.060548,           0.0063886,             0.76764,             0.76997,             0.80549,             0.43417,            0.054794,              0.0537,           0.0044953,           0.0084556,           0.0084556,           0.0084556
                  80,            0.062005,            0.076532,           0.0058802,             0.81482,             0.76865,             0.83246,             0.33295,            0.053679,            0.055379,           0.0045563,           0.0084358,           0.0084358,           0.0084358
                  81,            0.055464,            0.063394,           0.0056496,             0.77245,             0.75885,             0.84687,             0.33299,            0.057401,            0.056149,           0.0043947,            0.008416,            0.008416,            0.008416
                  82,            0.058313,            0.075258,           0.0063475,             0.82202,             0.76478,              0.8246,             0.48534,            0.049064,            0.054645,           0.0045289,           0.0083962,           0.0083962,           0.0083962
                  83,            0.054091,            0.072753,           0.0049909,             0.63136,             0.76315,             0.80126,             0.34441,            0.054993,            0.051539,           0.0042169,           0.0083764,           0.0083764,           0.0083764
                  84,            0.061768,            0.078832,           0.0050386,              0.7286,             0.89693,             0.86018,             0.46685,             0.05168,            0.050013,           0.0042235,           0.0083566,           0.0083566,           0.0083566
                  85,            0.055188,            0.070194,           0.0055951,             0.69992,             0.92637,             0.86202,             0.46329,            0.054086,            0.053519,           0.0041764,           0.0083368,           0.0083368,           0.0083368
                  86,            0.058974,            0.066858,           0.0048337,             0.75736,             0.77594,             0.87014,             0.41784,            0.053324,            0.052457,           0.0041446,            0.008317,            0.008317,            0.008317
                  87,            0.054826,             0.07199,           0.0051574,             0.75296,             0.73242,             0.83902,             0.31032,            0.056719,            0.055608,           0.0041543,           0.0082972,           0.0082972,           0.0082972
                  88,             0.06274,            0.079134,           0.0063935,             0.79823,             0.72988,             0.86279,             0.47091,            0.049208,             0.05455,           0.0044532,           0.0082774,           0.0082774,           0.0082774
                  89,            0.055546,            0.068864,           0.0071429,             0.77207,             0.76749,             0.83327,             0.44465,            0.050247,            0.055989,           0.0044123,           0.0082576,           0.0082576,           0.0082576
                  90,            0.055677,            0.068423,            0.005821,             0.83457,             0.73301,             0.84283,             0.38187,            0.053009,            0.056381,           0.0046069,           0.0082378,           0.0082378,           0.0082378
                  91,            0.055044,            0.066933,           0.0060166,             0.74478,             0.80641,             0.85783,             0.39491,            0.053271,            0.056095,           0.0044535,            0.008218,            0.008218,            0.008218
                  92,            0.057848,            0.070769,           0.0058367,             0.72786,             0.77769,             0.85162,             0.45022,            0.049313,            0.054318,           0.0044801,           0.0081982,           0.0081982,           0.0081982
                  93,            0.056237,            0.066572,           0.0063863,             0.61348,             0.76666,             0.82263,             0.47254,            0.052153,            0.054036,           0.0043167,           0.0081784,           0.0081784,           0.0081784
                  94,            0.060522,            0.066436,           0.0058547,             0.72243,             0.87005,             0.86841,             0.42915,            0.048607,            0.053002,           0.0044106,           0.0081586,           0.0081586,           0.0081586
                  95,            0.052863,            0.070619,           0.0050933,             0.72861,             0.88734,             0.87382,              0.4839,            0.050656,            0.056216,           0.0042879,           0.0081388,           0.0081388,           0.0081388
                  96,            0.058037,            0.076301,           0.0056619,             0.82303,             0.77855,             0.86318,             0.46777,            0.049153,            0.055702,           0.0042862,            0.008119,            0.008119,            0.008119
                  97,            0.058198,             0.07947,            0.006239,             0.86029,             0.87527,             0.89958,             0.44766,            0.051427,             0.05665,           0.0040806,           0.0080992,           0.0080992,           0.0080992
                  98,            0.056996,            0.068271,           0.0073259,             0.86409,             0.85556,             0.89573,             0.51997,            0.049606,            0.053976,           0.0040377,           0.0080794,           0.0080794,           0.0080794
                  99,            0.057032,            0.077907,           0.0054355,             0.82946,             0.84089,             0.89209,              0.5182,            0.049493,            0.055016,           0.0039309,           0.0080596,           0.0080596,           0.0080596
                 100,            0.057238,            0.063617,           0.0057711,             0.86402,             0.84518,              0.9007,              0.4096,            0.051789,            0.054557,           0.0040439,           0.0080398,           0.0080398,           0.0080398
                 101,            0.056965,            0.063865,           0.0057355,             0.82873,             0.82466,             0.88276,             0.41937,            0.049587,            0.054114,           0.0039861,             0.00802,             0.00802,             0.00802
                 102,            0.056326,             0.07205,           0.0054179,             0.79256,             0.88185,             0.89191,             0.47617,             0.05238,            0.055534,           0.0039963,           0.0080002,           0.0080002,           0.0080002
                 103,            0.055829,            0.071805,           0.0063905,             0.79537,              0.7245,              0.8504,             0.44872,            0.052967,             0.05459,           0.0043293,           0.0079804,           0.0079804,           0.0079804
                 104,            0.057155,            0.067664,           0.0048854,             0.74629,              0.8967,             0.87948,             0.46717,            0.050099,            0.054289,           0.0046288,           0.0079606,           0.0079606,           0.0079606
                 105,            0.051693,            0.060223,           0.0062007,             0.77618,             0.89051,             0.84585,             0.37192,            0.052585,            0.056395,            0.004624,           0.0079408,           0.0079408,           0.0079408
                 106,            0.056388,            0.065564,           0.0061906,             0.76327,              0.8709,             0.84756,             0.46133,            0.050825,            0.054622,           0.0047708,            0.007921,            0.007921,            0.007921
                 107,            0.054563,            0.066339,           0.0048157,             0.69924,             0.89004,             0.83814,             0.41135,            0.052676,            0.054729,           0.0048122,           0.0079012,           0.0079012,           0.0079012
                 108,             0.06039,            0.068098,           0.0061682,             0.70499,             0.88323,             0.84054,             0.40692,            0.057469,            0.054944,           0.0046683,           0.0078814,           0.0078814,           0.0078814
                 109,            0.057555,            0.066701,           0.0056562,             0.69113,              0.8946,             0.84316,             0.48177,              0.0561,            0.054925,            0.004229,           0.0078616,           0.0078616,           0.0078616
                 110,             0.05953,            0.064765,           0.0056596,             0.77449,              0.9208,             0.87904,              0.4257,            0.052294,            0.052061,           0.0044167,           0.0078418,           0.0078418,           0.0078418
                 111,             0.05314,            0.072577,           0.0055674,             0.79614,             0.90305,             0.90972,             0.47147,            0.047191,             0.05085,           0.0045653,            0.007822,            0.007822,            0.007822
                 112,            0.054029,            0.068204,           0.0054371,             0.78057,             0.92681,             0.92121,             0.50364,            0.047616,            0.055031,           0.0044327,           0.0078022,           0.0078022,           0.0078022
                 113,             0.05185,            0.065599,           0.0059213,             0.77794,             0.91956,             0.90843,             0.53499,            0.048555,             0.05219,            0.004006,           0.0077824,           0.0077824,           0.0077824
                 114,            0.058544,            0.060974,            0.004426,               0.799,             0.87331,             0.90441,              0.4067,            0.053064,            0.051505,           0.0038709,           0.0077626,           0.0077626,           0.0077626
                 115,            0.053823,            0.067226,           0.0056789,             0.79202,             0.91155,             0.89836,             0.50102,            0.048845,            0.052136,           0.0037903,           0.0077428,           0.0077428,           0.0077428
                 116,            0.054452,            0.065274,           0.0042437,             0.70225,             0.87916,             0.87463,             0.46682,            0.049874,                0.05,            0.003878,            0.007723,            0.007723,            0.007723
                 117,            0.055205,            0.060937,           0.0057511,             0.75974,              0.9101,             0.89029,             0.51605,            0.049042,            0.049742,           0.0040349,           0.0077032,           0.0077032,           0.0077032
                 118,            0.055276,            0.067747,            0.006393,             0.79368,             0.91668,             0.91251,             0.43534,            0.050695,            0.051081,           0.0040039,           0.0076834,           0.0076834,           0.0076834
                 119,            0.053631,            0.066586,           0.0046951,             0.75095,              0.8984,             0.89894,             0.52489,            0.050725,            0.050008,           0.0040994,           0.0076636,           0.0076636,           0.0076636
                 120,            0.057712,            0.063167,            0.004713,              0.7713,             0.90754,             0.90871,             0.48828,            0.050548,            0.048739,           0.0039333,           0.0076438,           0.0076438,           0.0076438
